day	key	parameter	level	prior	revenue	impressions	learning_rate	posterior	rev_imps	max_rev_imps	rev_imps_perc	site
2018-09-12	dd_bc_p1	fallbacks	0.1500	3.0000	8199538831	9551447.0000	4.5738	2.2010	858.4604	899.6798	0.9542	Home Stories A to Z
2018-09-12	dd_bc_p1	fallbacks	0.2000	5.0000	4981034741	5889230.0000	4.5738	3.1972	845.7871	899.6798	0.9401	Home Stories A to Z
2018-09-12	dd_bc_p1	fallbacks	0.2500	12.0000	5797489610	6790646.0000	4.5738	8.3711	853.7464	899.6798	0.9489	Home Stories A to Z
2018-09-12	dd_bc_p1	fallbacks	0.3000	60.0000	223159794911	248043570.0000	4.5738	66.0446	899.6798	899.6798	1.0000	Home Stories A to Z
2018-09-12	dd_bc_p1	fallbacks	0.3500	12.0000	52517212220	58374640.0000	4.5738	13.2063	899.6580	899.6798	1.0000	Home Stories A to Z
2018-09-12	dd_bc_p1	fallbacks	0.4000	5.0000	19190182197	21664036.0000	4.5738	4.8342	885.8083	899.6798	0.9846	Home Stories A to Z
2018-09-12	dd_bc_p1	fallbacks	0.4500	3.0000	7068666276	8257119.0000	4.5738	2.1456	856.0693	899.6798	0.9515	Home Stories A to Z
2018-09-12	dd_bc_p1	intercepts	0.1500	3.0000	12520589	4107.0000	1.2453	4.0610	3048.5973	3048.5973	1.0000	Home Stories A to Z
2018-09-12	dd_bc_p1	intercepts	0.2000	5.0000	11569755	4061.0000	1.2453	4.5418	2848.9916	3048.5973	0.9345	Home Stories A to Z
2018-09-12	dd_bc_p1	intercepts	0.2500	12.0000	12293561	4140.0000	1.2453	13.8051	2969.4592	3048.5973	0.9740	Home Stories A to Z
2018-09-12	dd_bc_p1	intercepts	0.3000	60.0000	14415593	5024.0000	1.2453	54.5645	2869.3457	3048.5973	0.9412	Home Stories A to Z
2018-09-12	dd_bc_p1	intercepts	0.3500	12.0000	12245492	4078.0000	1.2453	14.7391	3002.8180	3048.5973	0.9850	Home Stories A to Z
2018-09-12	dd_bc_p1	intercepts	0.4000	5.0000	11190271	3934.0000	1.2453	4.4998	2844.5020	3048.5973	0.9331	Home Stories A to Z
2018-09-12	dd_bc_p1	intercepts	0.4500	3.0000	11273889	3742.0000	1.2453	3.7888	3012.7977	3048.5973	0.9883	Home Stories A to Z
2018-09-12	dd_bc_p1	slopes	1.2000	3.0000	19134591	6435.0000	1.2453	3.2835	2973.5184	2973.5184	1.0000	Home Stories A to Z
2018-09-12	dd_bc_p1	slopes	1.2500	5.0000	18797113	6356.0000	1.2453	5.3011	2957.3809	2973.5184	0.9946	Home Stories A to Z
2018-09-12	dd_bc_p1	slopes	1.3000	12.0000	15545658	5289.0000	1.2453	12.2230	2939.2433	2973.5184	0.9885	Home Stories A to Z
2018-09-12	dd_bc_p1	slopes	1.3500	60.0000	13844424	4690.0000	1.2453	60.2313	2951.9028	2973.5184	0.9927	Home Stories A to Z
2018-09-12	dd_bc_p1	slopes	1.4000	12.0000	9236199	3164.0000	1.2453	11.6967	2919.1527	2973.5184	0.9817	Home Stories A to Z
2018-09-12	dd_bc_p1	slopes	1.4500	5.0000	8951165	3152.0000	1.2453	4.2181	2839.8366	2973.5184	0.9550	Home Stories A to Z
2018-09-12	dd_bc_p1	slopes	1.5000	3.0000	0	0	1.2453	3.0463	0	2973.5184	0	Home Stories A to Z
2018-09-12	dd_bc_p2	fallbacks	0.1500	3.0000	8199538831	9551447.0000	4.5738	2.2010	858.4604	899.6798	0.9542	Home Stories A to Z
2018-09-12	dd_bc_p2	fallbacks	0.2000	5.0000	4981034741	5889230.0000	4.5738	3.1972	845.7871	899.6798	0.9401	Home Stories A to Z
2018-09-12	dd_bc_p2	fallbacks	0.2500	12.0000	5797489610	6790646.0000	4.5738	8.3711	853.7464	899.6798	0.9489	Home Stories A to Z
2018-09-12	dd_bc_p2	fallbacks	0.3000	60.0000	223159794911	248043570.0000	4.5738	66.0446	899.6798	899.6798	1.0000	Home Stories A to Z
2018-09-12	dd_bc_p2	fallbacks	0.3500	12.0000	52517212220	58374640.0000	4.5738	13.2063	899.6580	899.6798	1.0000	Home Stories A to Z
2018-09-12	dd_bc_p2	fallbacks	0.4000	5.0000	19190182197	21664036.0000	4.5738	4.8342	885.8083	899.6798	0.9846	Home Stories A to Z
2018-09-12	dd_bc_p2	fallbacks	0.4500	3.0000	7068666276	8257119.0000	4.5738	2.1456	856.0693	899.6798	0.9515	Home Stories A to Z
2018-09-12	dd_bc_p2	intercepts	0.1500	3.0000	4513653	1442.0000	0.9963	2.9798	3130.1338	3250.7049	0.9629	Home Stories A to Z
2018-09-12	dd_bc_p2	intercepts	0.2000	5.0000	4577718	1443.0000	0.9963	5.2822	3172.3617	3250.7049	0.9759	Home Stories A to Z
2018-09-12	dd_bc_p2	intercepts	0.2500	12.0000	4118422	1437.0000	0.9963	7.8826	2865.9861	3250.7049	0.8817	Home Stories A to Z
2018-09-12	dd_bc_p2	intercepts	0.3000	60.0000	5653855	1759.0000	0.9963	61.0692	3214.2439	3250.7049	0.9888	Home Stories A to Z
2018-09-12	dd_bc_p2	intercepts	0.3500	12.0000	4053629	1247.0000	0.9963	14.0230	3250.7049	3250.7049	1.0000	Home Stories A to Z
2018-09-12	dd_bc_p2	intercepts	0.4000	5.0000	4527527	1398.0000	0.9963	5.8552	3238.5744	3250.7049	0.9963	Home Stories A to Z
2018-09-12	dd_bc_p2	intercepts	0.4500	3.0000	3449320	1107.0000	0.9963	2.9079	3115.9169	3250.7049	0.9585	Home Stories A to Z
2018-09-12	dd_bc_p2	slopes	1.2000	3.0000	5677399	1785.0000	0.9963	3.0665	3180.6157	3287.1633	0.9676	Home Stories A to Z
2018-09-12	dd_bc_p2	slopes	1.2500	5.0000	7642673	2398.0000	0.9963	5.1538	3187.1030	3287.1633	0.9696	Home Stories A to Z
2018-09-12	dd_bc_p2	slopes	1.3000	12.0000	5461166	1696.0000	0.9963	12.7809	3220.0271	3287.1633	0.9796	Home Stories A to Z
2018-09-12	dd_bc_p2	slopes	1.3500	60.0000	5335066	1623.0000	0.9963	64.0187	3287.1633	3287.1633	1.0000	Home Stories A to Z
2018-09-12	dd_bc_p2	slopes	1.4000	12.0000	3470313	1159.0000	0.9963	9.0893	2994.2304	3287.1633	0.9109	Home Stories A to Z
2018-09-12	dd_bc_p2	slopes	1.4500	5.0000	3307507	1172.0000	0.9963	3.0737	2822.1049	3287.1633	0.8585	Home Stories A to Z
2018-09-12	dd_bc_p2	slopes	1.5000	3.0000	0	0	0.9963	2.8171	0	3287.1633	0	Home Stories A to Z
2018-09-12	dd_bc_p3	fallbacks	0.1500	3.0000	8199538831	9551447.0000	4.5738	2.2010	858.4604	899.6798	0.9542	Home Stories A to Z
2018-09-12	dd_bc_p3	fallbacks	0.2000	5.0000	4981034741	5889230.0000	4.5738	3.1972	845.7871	899.6798	0.9401	Home Stories A to Z
2018-09-12	dd_bc_p3	fallbacks	0.2500	12.0000	5797489610	6790646.0000	4.5738	8.3711	853.7464	899.6798	0.9489	Home Stories A to Z
2018-09-12	dd_bc_p3	fallbacks	0.3000	60.0000	223159794911	248043570.0000	4.5738	66.0446	899.6798	899.6798	1.0000	Home Stories A to Z
2018-09-12	dd_bc_p3	fallbacks	0.3500	12.0000	52517212220	58374640.0000	4.5738	13.2063	899.6580	899.6798	1.0000	Home Stories A to Z
2018-09-12	dd_bc_p3	fallbacks	0.4000	5.0000	19190182197	21664036.0000	4.5738	4.8342	885.8083	899.6798	0.9846	Home Stories A to Z
2018-09-12	dd_bc_p3	fallbacks	0.4500	3.0000	7068666276	8257119.0000	4.5738	2.1456	856.0693	899.6798	0.9515	Home Stories A to Z
2018-09-12	dd_bc_p3	intercepts	0.1500	3.0000	3382846	1166.0000	0.9655	3.0859	2901.2401	3133.4382	0.9259	Home Stories A to Z
2018-09-12	dd_bc_p3	intercepts	0.2000	5.0000	3757317	1267.0000	0.9655	5.7699	2965.5225	3133.4382	0.9464	Home Stories A to Z
2018-09-12	dd_bc_p3	intercepts	0.2500	12.0000	3573365	1177.0000	0.9655	15.4068	3035.9941	3133.4382	0.9689	Home Stories A to Z
2018-09-12	dd_bc_p3	intercepts	0.3000	60.0000	4516676	1589.0000	0.9655	49.2859	2842.4644	3133.4382	0.9071	Home Stories A to Z
2018-09-12	dd_bc_p3	intercepts	0.3500	12.0000	3207524	1038.0000	0.9655	16.8979	3090.1002	3133.4382	0.9862	Home Stories A to Z
2018-09-12	dd_bc_p3	intercepts	0.4000	5.0000	3162261	1101.0000	0.9655	4.8377	2872.1717	3133.4382	0.9166	Home Stories A to Z
2018-09-12	dd_bc_p3	intercepts	0.4500	3.0000	3703724	1182.0000	0.9655	4.7159	3133.4382	3133.4382	1.0000	Home Stories A to Z
2018-09-12	dd_bc_p3	slopes	1.2000	3.0000	4832158	1622.0000	0.9655	3.6819	2979.1356	3095.6785	0.9624	Home Stories A to Z
2018-09-12	dd_bc_p3	slopes	1.2500	5.0000	5491771	1833.0000	0.9655	6.3148	2996.0562	3095.6785	0.9678	Home Stories A to Z
2018-09-12	dd_bc_p3	slopes	1.3000	12.0000	4489592	1538.0000	0.9655	12.8541	2919.1105	3095.6785	0.9430	Home Stories A to Z
2018-09-12	dd_bc_p3	slopes	1.3500	60.0000	4164887	1469.0000	0.9655	49.0991	2835.1852	3095.6785	0.9159	Home Stories A to Z
2018-09-12	dd_bc_p3	slopes	1.4000	12.0000	3225697	1042.0000	0.9655	17.6262	3095.6785	3095.6785	1.0000	Home Stories A to Z
